        'ru_RU': {
        'app_title': "Belcka",
        'first_screen_welcome_title': "Добро пожаловать в Белчку",
        'first_screen_note': "Создавать. Соединять. Покори — запусти свой\nкомпании или присоединяйтесь к вашей команде прямо сейчас.",
        'need_help': "Нужна помощь?",
        'create_new_account': "Создать новую учетную запись",
        'create_company': "Создать компанию",
        'log_in': "Авторизоваться",
        'log_in_note1': "Какой у тебя мобильный?\nномер?",
        'log_in_note2': "Один номер. Ноль хлопот. Мгновенный вход.",
        'do_not_have_an_account': "У вас нет учетной записи?",
        'continue': "Продолжать",
        'finish': "Заканчивать",
        'enter_verification_code': "Введите код подтверждения",
        'verification_code_sent_note': "Мы отправили 6-значный код на\nтвой телефон",
        'resend_code_in': "Повторно отправить код в",
        'did_not_get_the_code': "Не получили код?",
        'resend_now': "Отправить повторно сейчас",
        'sign_up_free_and_start_using_otm_system': "Зарегистрируйтесь бесплатно и начните\nиспользуя Белчку",
        'sign_up': "Зарегистрироваться",
        'login': "Авторизоваться",
        'required_field': "Обязательное поле",
        'phone': "Телефон",
        'phone_number': "Номер телефона",
        'email': "Электронная почта",
        'try_again': "Попробуйте еще раз",
        'no_internet': "Пожалуйста, проверьте подключение к Интернету!",
        'no_internet_text': "Нет Интернета",
        'verify_otp': "Подтвердить одноразовый код",
        'verify_otp_hint1': "Введите четырехзначный код, который вам отправили в мобильном SMS.",
        'click_on_': "Нажмите «Вкл.»",
        'resend_': "Отправить повторно,",
        'otm_received_note': "если вы не получите сообщение через 2 минуты",
        'submit': "Представлять на рассмотрение",
        'enter_otp': "Введите одноразовый пароль",
        'otp_resend_success_message': "Отп отправить повторно",
        'home': "Дом",
        'profile': "Профиль",
        'more': "Более",
        'next': "Следующий",
        'first_name': "Имя",
        'last_name': "Фамилия",
        'middle_name': "Второе имя",
        'upload_photo_note_sign_up': "Загрузите свою фотографию, чтобы ваша команда\nприятель может узнать тебя",
        'upload_photo_capital': "ЗАГРУЗИТЬ ФОТО",
        'hint_upload_user_image': "Предпочтительный размер изображения: квадрат",
        'register': "Зарегистрироваться",
        'error_phone_number_contain_10_digits': "Номер телефона должен содержать 10 цифр",
        'error_phone_number_start_with_zero': "Номер телефона не начинается с 0",
        'error_phone_number_already_exist': "Номер телефона уже существует",
        'your_weekly_score_is': "Ваш еженедельный результат",
        'analytics': "Аналитика",
        'today_summery': "Сегодняшнее лето",
        'location_updates': "Обновления местоположения",
        'next_updates': "Следующие обновления",
        'scheduled_break': "Запланированный перерыв",
        'empty_data_message': "Данные не найдены",
        'search': "Поиск",
        'logout': "Выход из системы",
        'logout_msg': "Вы уверены, что хотите выйти?",
        'yes': "Да",
        'no': "Нет",
        'skip': "Пропускать",
        'close': "Закрывать",
        'view_profile': "Посмотреть профиль",
        'add_zone': "Добавить зону",
        'update_zone': "Обновить зону",
        'zone_color': "Цвет зоны",
        'search_location': "Поиск местоположения",
        'search_location_hint': "Поиск местоположения...",
        'polygon_draw_hint': "Нажмите, чтобы добавить баллы — нажмите рядом с началом, чтобы закрыть (@pts pts)",
        'zone_project_required': "Проект не найден. Откройте список зон из проекта или сначала добавьте зону из проекта.",
        'polygon_min_points': "Для полигональной зоны необходимо как минимум 3 точки.",
        'done': "Сделанный",
        'map_view_label': "Карта",
        'satellite_view_label': "Спутник",
        'add_by_shape': "Добавить по форме",
